2025-10-06 12:31:20,417 | INFO | RegisterPage | RegisterPage initialized with all registration form locators.
2025-10-06 12:31:20,417 | INFO | Homepage | Homepage initialized with locators for Register, Email Header, and Digital Downloads.
2025-10-06 12:31:20,418 | INFO | DigitalDownloadsPage | DigitalDownloadsPage initialized with all locators.
2025-10-06 12:31:20,418 | INFO | ShoppingCartPage | ShoppingCartPage initialized with locator for product list in cart.
2025-10-06 12:31:20,418 | INFO | BaseClass | Initialized BaseClass with all page objects.
2025-10-06 12:31:22,800 | INFO | BaseClass | Starting test: Register and add item to cart
2025-10-06 12:31:22,800 | INFO | Homepage | Waiting for 'Register' button to be visible.
2025-10-06 12:31:22,853 | INFO | Homepage | Register button is visible. Clicking on it now.
2025-10-06 12:31:22,853 | INFO | Homepage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/'> selector='.ico-register'>
2025-10-06 12:31:23,308 | INFO | Homepage | Clicked on 'Register' successfully.
2025-10-06 12:31:23,309 | INFO | BaseClass | Generated user: josephmatthew@example.org
2025-10-06 12:31:23,309 | INFO | RegisterPage | Waiting for 'Register' button to become visible before filling the form.
2025-10-06 12:31:23,348 | INFO | RegisterPage | Typing first name: Aimee
2025-10-06 12:31:23,348 | INFO | RegisterPage | Typing text 'Aimee' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#FirstName'>
2025-10-06 12:31:23,374 | INFO | RegisterPage | Typing last name: Rodgers
2025-10-06 12:31:23,374 | INFO | RegisterPage | Typing text 'Rodgers' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#LastName'>
2025-10-06 12:31:23,404 | INFO | RegisterPage | Typing email: josephmatthew@example.org
2025-10-06 12:31:23,405 | INFO | RegisterPage | Typing text 'josephmatthew@example.org' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#Email'>
2025-10-06 12:31:23,453 | INFO | RegisterPage | Typing password and confirming it.
2025-10-06 12:31:23,453 | INFO | RegisterPage | Typing text '&aBIv9QllN' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#Password'>
2025-10-06 12:31:23,497 | INFO | RegisterPage | Typing text '&aBIv9QllN' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#ConfirmPassword'>
2025-10-06 12:31:23,528 | INFO | RegisterPage | Finished filling in registration details successfully.
