2025-10-06 12:24:42,000 | INFO | RegisterPage | RegisterPage initialized with all registration form locators.
2025-10-06 12:24:42,000 | INFO | Homepage | Homepage initialized with locators for Register, Email Header, and Digital Downloads.
2025-10-06 12:24:42,000 | INFO | DigitalDownloadsPage | DigitalDownloadsPage initialized with all locators.
2025-10-06 12:24:42,001 | INFO | ShoppingCartPage | ShoppingCartPage initialized with locator for product list in cart.
2025-10-06 12:24:42,001 | INFO | BaseClass | Initialized BaseClass with all page objects.
2025-10-06 12:24:43,980 | INFO | BaseClass | Starting test: Register and add item to cart
2025-10-06 12:24:43,980 | INFO | Homepage | Waiting for 'Register' button to be visible.
2025-10-06 12:24:44,027 | INFO | Homepage | Register button is visible. Clicking on it now.
2025-10-06 12:24:44,028 | INFO | Homepage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/'> selector='.ico-register'>
2025-10-06 12:24:44,463 | INFO | Homepage | Clicked on 'Register' successfully.
2025-10-06 12:24:44,464 | INFO | BaseClass | Generated user: brandinorris@example.net
2025-10-06 12:24:44,464 | INFO | RegisterPage | Waiting for 'Register' button to become visible before filling the form.
2025-10-06 12:24:44,496 | INFO | RegisterPage | Typing first name: Shelby
2025-10-06 12:24:44,496 | INFO | RegisterPage | Typing text 'Shelby' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#FirstName'>
2025-10-06 12:24:44,521 | INFO | RegisterPage | Typing last name: Thomas
2025-10-06 12:24:44,521 | INFO | RegisterPage | Typing text 'Thomas' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#LastName'>
2025-10-06 12:24:44,544 | INFO | RegisterPage | Typing email: brandinorris@example.net
2025-10-06 12:24:44,545 | INFO | RegisterPage | Typing text 'brandinorris@example.net' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#Email'>
2025-10-06 12:24:44,589 | INFO | RegisterPage | Typing password and confirming it.
2025-10-06 12:24:44,589 | INFO | RegisterPage | Typing text '193RGjNK!N' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#Password'>
2025-10-06 12:24:44,627 | INFO | RegisterPage | Typing text '193RGjNK!N' into element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#ConfirmPassword'>
2025-10-06 12:24:44,654 | INFO | RegisterPage | Finished filling in registration details successfully.
2025-10-06 12:24:44,654 | INFO | BaseClass | Filled registration form
2025-10-06 12:24:44,654 | INFO | RegisterPage | Waiting for 'Register' button to be visible before clicking.
2025-10-06 12:24:44,662 | INFO | RegisterPage | Clicking on 'Register' button.
2025-10-06 12:24:44,663 | INFO | RegisterPage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/register'> selector='#register-button'>
2025-10-06 12:24:45,684 | INFO | RegisterPage | 'Register' button clicked successfully.
2025-10-06 12:24:45,685 | INFO | RegisterPage | Waiting for 'Continue' button to appear after registration.
2025-10-06 12:24:45,726 | INFO | RegisterPage | Clicking on 'Continue' button to proceed.
2025-10-06 12:24:45,726 | INFO | RegisterPage | Clicking element: <Locator frame=<Frame name= url='https://demowebshop.tricentis.com/registerresult/1'> selector='.register-continue-button'>
